close,high,low,open,volume,startTime
23899,23900,23899,23899,152.9563,2022-08-08T23:17:00Z
23899,23900,23899,23899,45.4082,2022-08-08T23:18:00Z
23919,23922,23899,23899,577217.3377,2022-08-08T23:19:00Z
23890,23919,23890,23919,46952.7631,2022-08-08T23:20:00Z
23889,23890,23887,23890,152631.8135,2022-08-08T23:21:00Z
23818,23893,23792,23889,2178333.8417,2022-08-08T23:22:00Z
23798,23818,23778,23818,994456.058,2022-08-08T23:23:00Z
23793,23798,23780,23798,408704.2353,2022-08-08T23:24:00Z
23769,23794,23767,23793,99434.2116,2022-08-08T23:25:00Z
23769,23786,23769,23769,89124.7655,2022-08-08T23:26:00Z
23768,23775,23765,23769,71830.3105,2022-08-08T23:27:00Z
23777,23779,23763,23768,134828.0904,2022-08-08T23:28:00Z
23784,23788,23774,23777,61095.6904,2022-08-08T23:29:00Z
23790,23790,23778,23784,122218.3686,2022-08-08T23:30:00Z
23812,23819,23790,23790,149016.0107,2022-08-08T23:31:00Z
23823,23827,23811,23812,111974.9183,2022-08-08T23:32:00Z
23803,23824,23797,23823,82327.773,2022-08-08T23:33:00Z
23798,23804,23798,23803,34200.8531,2022-08-08T23:34:00Z
23803,23803,23798,23798,58951.8454,2022-08-08T23:35:00Z
23805,23811,23802,23803,51659.214,2022-08-08T23:36:00Z
23804,23805,23798,23805,18760.8249,2022-08-08T23:37:00Z
23804,23804,23800,23804,11731.8705,2022-08-08T23:38:00Z
23795,23804,23785,23804,105357.4722,2022-08-08T23:39:00Z
23773,23796,23771,23795,53243.3511,2022-08-08T23:40:00Z
23763,23776,23763,23773,36834.161,2022-08-08T23:41:00Z
23771,23771,23762,23763,41298.7519,2022-08-08T23:42:00Z
23776,23778,23762,23771,20653.223,2022-08-08T23:43:00Z
23770,23776,23768,23776,4773.0775,2022-08-08T23:44:00Z
23787,23791,23770,23770,36145.0725,2022-08-08T23:45:00Z
23788,23789,23779,23787,22598.3855,2022-08-08T23:46:00Z
23805,23805,23787,23788,75394.1757,2022-08-08T23:47:00Z
23801,23806,23796,23805,185632.1922,2022-08-08T23:48:00Z
23797,23810,23787,23801,119406.7098,2022-08-08T23:49:00Z
23803,23803,23795,23797,14336.0047,2022-08-08T23:50:00Z
23802,23803,23796,23803,25018.6333,2022-08-08T23:51:00Z
23795,23802,23781,23802,424371.3855,2022-08-08T23:52:00Z
23791,23798,23788,23795,101394.5601,2022-08-08T23:53:00Z
23797,23797,23791,23791,72775.2234,2022-08-08T23:54:00Z
23785,23797,23784,23797,81923.7356,2022-08-08T23:55:00Z
23798,23798,23785,23785,76266.3969,2022-08-08T23:56:00Z
23807,23807,23797,23798,63429.9855,2022-08-08T23:57:00Z
23816,23817,23807,23807,202710.4111,2022-08-08T23:58:00Z
23816,23827,23815,23816,74208.9992,2022-08-08T23:59:00Z
23825,23825,23811,23814,131328.2915,2022-08-09T00:00:00Z
23815,23826,23812,23825,105836.81,2022-08-09T00:01:00Z
23822,23822,23804,23815,172530.7467,2022-08-09T00:02:00Z
23823,23835,23821,23822,59518.8218,2022-08-09T00:03:00Z
23827,23830,23823,23823,264866.936,2022-08-09T00:04:00Z
23821,23828,23820,23827,15588.5689,2022-08-09T00:05:00Z
23824,23826,23820,23821,156553.2778,2022-08-09T00:06:00Z
23812,23827,23812,23824,21644.1344,2022-08-09T00:07:00Z
23801,23812,23800,23812,58864.8224,2022-08-09T00:08:00Z
23801,23801,23800,23801,14954.1681,2022-08-09T00:09:00Z
23780,23802,23780,23801,110496.9412,2022-08-09T00:10:00Z
23758,23780,23740,23780,513436.1694,2022-08-09T00:11:00Z
23740,23758,23736,23758,287398.0729,2022-08-09T00:12:00Z
23760,23760,23740,23740,22752.0239,2022-08-09T00:13:00Z
23792,23792,23760,23760,24344.6086,2022-08-09T00:14:00Z
23795,23799,23786,23792,206523.8253,2022-08-09T00:15:00Z
23787,23795,23787,23795,30825.4272,2022-08-09T00:16:00Z
23789,23790,23786,23787,19284.3374,2022-08-09T00:17:00Z
23806,23806,23789,23789,54513.1444,2022-08-09T00:18:00Z
23830,23830,23806,23806,317360.666,2022-08-09T00:19:00Z
23824,23831,23817,23830,513960.1337,2022-08-09T00:20:00Z
23853,23854,23824,23824,398400.8664,2022-08-09T00:21:00Z
23839,23853,23835,23853,135452.5593,2022-08-09T00:22:00Z
23838,23844,23837,23839,49513.9038,2022-08-09T00:23:00Z
23821,23841,23821,23838,69846.4425,2022-08-09T00:24:00Z
23828,23828,23818,23821,66522.0503,2022-08-09T00:25:00Z
23830,23832,23823,23828,149816.2929,2022-08-09T00:26:00Z
23832,23832,23829,23830,89765.1939,2022-08-09T00:27:00Z
23828,23832,23828,23832,56293.5215,2022-08-09T00:28:00Z
23833,23833,23815,23828,139280.3743,2022-08-09T00:29:00Z
23840,23840,23827,23833,116704.1613,2022-08-09T00:30:00Z
23835,23840,23823,23840,97937.9911,2022-08-09T00:31:00Z
23836,23837,23834,23835,59987.5564,2022-08-09T00:32:00Z
23851,23856,23836,23836,130319.775,2022-08-09T00:33:00Z
23866,23870,23851,23851,65800.8671,2022-08-09T00:34:00Z
23852,23866,23849,23866,162720.1532,2022-08-09T00:35:00Z
23854,23854,23845,23852,479675.8731,2022-08-09T00:36:00Z
23854,23863,23854,23854,46115.5984,2022-08-09T00:37:00Z
23846,23855,23845,23854,6834.866,2022-08-09T00:38:00Z
23834,23854,23833,23846,164900.1324,2022-08-09T00:39:00Z
23856,23857,23823,23834,96363.3774,2022-08-09T00:40:00Z
23853,23856,23838,23856,37468.1253,2022-08-09T00:41:00Z
23858,23860,23851,23853,87734.3826,2022-08-09T00:42:00Z
23851,23858,23849,23858,18544.2645,2022-08-09T00:43:00Z
23847,23852,23847,23851,36028.6735,2022-08-09T00:44:00Z
23847,23852,23845,23847,9276.8093,2022-08-09T00:45:00Z
23846,23847,23844,23847,9103.998,2022-08-09T00:46:00Z
23839,23847,23839,23846,40286.4494,2022-08-09T00:47:00Z
23823,23839,23823,23839,20618.1594,2022-08-09T00:48:00Z
23825,23825,23823,23823,56186.5422,2022-08-09T00:49:00Z
23831,23837,23824,23825,66269.7156,2022-08-09T00:50:00Z
23831,23834,23830,23831,19195.8736,2022-08-09T00:51:00Z
23834,23834,23831,23831,1275.0136,2022-08-09T00:52:00Z
23837,23838,23834,23834,21288.0509,2022-08-09T00:53:00Z
23839,23839,23837,23837,36138.4895,2022-08-09T00:54:00Z
23846,23850,23838,23839,7387.6769,2022-08-09T00:55:00Z
23814,23846,23814,23846,141074.1704,2022-08-09T00:56:00Z
23814,23815,23814,23814,7237.0863,2022-08-09T00:57:00Z
23813,23815,23813,23814,74294.7127,2022-08-09T00:58:00Z
23798,23813,23790,23813,162184.1868,2022-08-09T00:59:00Z
23778,23804,23772,23798,398778.6469,2022-08-09T01:00:00Z
23784,23785,23769,23778,152829.8789,2022-08-09T01:01:00Z
23816,23816,23782,23784,391913.1733,2022-08-09T01:02:00Z
23799,23817,23798,23816,224787.5463,2022-08-09T01:03:00Z
23800,23800,23783,23799,112662.9349,2022-08-09T01:04:00Z
23798,23800,23795,23800,26970.4128,2022-08-09T01:05:00Z
23784,23798,23784,23798,85706.5523,2022-08-09T01:06:00Z
23787,23788,23784,23784,11758.9229,2022-08-09T01:07:00Z
23778,23787,23764,23787,1014433.2524,2022-08-09T01:08:00Z
23789,23793,23773,23778,140707.4943,2022-08-09T01:09:00Z
23784,23793,23784,23789,223873.0895,2022-08-09T01:10:00Z
23794,23794,23780,23784,219037.0634,2022-08-09T01:11:00Z
23790,23794,23789,23794,29626.7532,2022-08-09T01:12:00Z
23789,23790,23780,23790,36922.3441,2022-08-09T01:13:00Z
23783,23790,23783,23789,108985.5367,2022-08-09T01:14:00Z
23787,23788,23780,23783,116643.1949,2022-08-09T01:15:00Z
23808,23818,23787,23787,174913.7562,2022-08-09T01:16:00Z
23803,23814,23800,23808,294400.0206,2022-08-09T01:17:00Z
23810,23814,23802,23803,25788.0584,2022-08-09T01:18:00Z
23795,23810,23795,23810,42361.3302,2022-08-09T01:19:00Z
23808,23808,23789,23795,89546.2261,2022-08-09T01:20:00Z
23791,23811,23789,23808,391964.837,2022-08-09T01:21:00Z
23813,23815,23791,23791,16881.2217,2022-08-09T01:22:00Z
23822,23826,23813,23813,56917.9407,2022-08-09T01:23:00Z
23821,23824,23810,23822,97446.1293,2022-08-09T01:24:00Z
23808,23830,23808,23821,203803.8609,2022-08-09T01:25:00Z
23813,23819,23808,23808,138056.2227,2022-08-09T01:26:00Z
23810,23815,23810,23813,52090.2804,2022-08-09T01:27:00Z
23813,23815,23810,23810,3438.3512,2022-08-09T01:28:00Z
23818,23818,23810,23813,107946.1573,2022-08-09T01:29:00Z
23809,23819,23808,23818,32285.397,2022-08-09T01:30:00Z
23812,23819,23805,23809,315183.245,2022-08-09T01:31:00Z
23796,23812,23796,23812,55963.499,2022-08-09T01:32:00Z
23815,23815,23796,23796,107428.1813,2022-08-09T01:33:00Z
23817,23825,23815,23815,41893.0947,2022-08-09T01:34:00Z
23840,23841,23817,23817,115375.8418,2022-08-09T01:35:00Z
23825,23840,23825,23840,67965.214,2022-08-09T01:36:00Z
23825,23826,23825,23825,4221.8344,2022-08-09T01:37:00Z
23821,23825,23820,23825,22111.8434,2022-08-09T01:38:00Z
23804,23821,23800,23821,222843.3195,2022-08-09T01:39:00Z
23799,23804,23799,23804,107485.3545,2022-08-09T01:40:00Z
23819,23819,23789,23796,367910.2048,2022-08-09T01:41:00Z
23787,23819,23784,23819,87624.4411,2022-08-09T01:42:00Z
23791,23796,23783,23787,128911.3851,2022-08-09T01:43:00Z
23797,23798,23791,23791,17061.9582,2022-08-09T01:44:00Z
23790,23798,23781,23797,150455.1838,2022-08-09T01:45:00Z
23750,23798,23750,23790,969338.5721,2022-08-09T01:46:00Z
23739,23751,23715,23750,722711.7554,2022-08-09T01:47:00Z
23733,23740,23722,23739,62948.7478,2022-08-09T01:48:00Z
23739,23743,23732,23733,57789.2464,2022-08-09T01:49:00Z
23745,23750,23739,23739,279853.4053,2022-08-09T01:50:00Z
23750,23750,23745,23745,310911.5328,2022-08-09T01:51:00Z
23745,23750,23740,23750,119000.0938,2022-08-09T01:52:00Z
23737,23746,23731,23745,559991.6975,2022-08-09T01:53:00Z
23740,23740,23735,23739,17813.5722,2022-08-09T01:54:00Z
23730,23740,23730,23740,103725.3685,2022-08-09T01:55:00Z
23743,23743,23726,23730,111693.8098,2022-08-09T01:56:00Z
23731,23743,23729,23743,153455.2985,2022-08-09T01:57:00Z
23737,23741,23731,23731,244596.0972,2022-08-09T01:58:00Z
23736,23739,23736,23737,30408.3581,2022-08-09T01:59:00Z
23720,23736,23714,23736,340563.7807,2022-08-09T02:00:00Z
23733,23736,23720,23720,32011.2697,2022-08-09T02:01:00Z
